"province","top_vente","quantite","dieu"
"ACHAÏE","1","576200","ARTÉMIS"
"ACHAÏE","2","562491","STYX"
"ACHAÏE","3","550442","ZEUS"
"ACHAÏE","4","541319","HÉRA"
"ACHAÏE","5","534489","DIONYSOS"
"ÆGYPTE","1","199159","ARTÉMIS"
"ÆGYPTE","2","189090","STYX"
"ÆGYPTE","3","184992","DIONYSOS"
"ÆGYPTE","4","181174","APOLLON"
"ÆGYPTE","5","179775","HÉRA"
"ÆTHIOPIE","1","203587","ARTÉMIS"
"ÆTHIOPIE","2","193451","HÉRA"
"ÆTHIOPIE","3","185304","STYX"
"ÆTHIOPIE","4","183152","DIONYSOS"
"ÆTHIOPIE","5","180976","ZEUS"
"ARCADIE","1","389611","STYX"
"ARCADIE","2","389159","ARTÉMIS"
"ARCADIE","3","374009","DIONYSOS"
"ARCADIE","4","372028","HÉRA"
"ARCADIE","5","359023","ZEUS"
"ARGOLIDE","1","998231","ARTÉMIS"
"ARGOLIDE","2","964847","STYX"
"ARGOLIDE","3","924116","APOLLON"
"ARGOLIDE","4","900168","ZEUS"
"ARGOLIDE","5","895927","DIONYSOS"
"ATTIQUE","1","612921","ARTÉMIS"
"ATTIQUE","2","583502","STYX"
"ATTIQUE","3","542704","APOLLON"
"ATTIQUE","4","542259","HÉRA"
"ATTIQUE","5","537626","DIONYSOS"
"BÉOTIE","1","598546","ARTÉMIS"
"BÉOTIE","2","581997","STYX"
"BÉOTIE","3","568519","APOLLON"
"BÉOTIE","4","564554","DIONYSOS"
"BÉOTIE","5","549588","ZEUS"
"BITHYNIE","1","209923","ARTÉMIS"
"BITHYNIE","2","193117","APOLLON"
"BITHYNIE","3","191513","STYX"
"BITHYNIE","4","183561","DIONYSOS"
"BITHYNIE","5","176387","ZEUS"
"CARIE","1","203970","ARTÉMIS"
"CARIE","2","186508","STYX"
"CARIE","3","185191","APOLLON"
"CARIE","4","179529","DIONYSOS"
"CARIE","5","175356","HÉRA"
"CÉPHALLÈNE","1","199042","ARTÉMIS"
"CÉPHALLÈNE","2","192365","STYX"
"CÉPHALLÈNE","3","190410","DIONYSOS"
"CÉPHALLÈNE","4","189673","HÉRA"
"CÉPHALLÈNE","5","185339","DÉMÉTER"
"CHIOS","1","210364","ARTÉMIS"
"CHIOS","2","188160","ZEUS"
"CHIOS","3","185388","APOLLON"
"CHIOS","4","183320","STYX"
"CHIOS","5","180917","DIONYSOS"
"CHYPRE","1","199642","ARTÉMIS"
"CHYPRE","2","197855","STYX"
"CHYPRE","3","191458","APOLLON"
"CHYPRE","4","189144","ZEUS"
"CHYPRE","5","179648","DÉMÉTER"
"CICÔNES","1","199371","ARTÉMIS"
"CICÔNES","2","189090","STYX"
"CICÔNES","3","183102","APOLLON"
"CICÔNES","4","179574","ZEUS"
"CICÔNES","5","177689","DÉMÉTER"
"CORFOU","1","202383","ARTÉMIS"
"CORFOU","2","188267","DIONYSOS"
"CORFOU","3","186115","STYX"
"CORFOU","4","175818","APOLLON"
"CORFOU","5","173914","ZEUS"
"CORINTHIE","1","380336","ARTÉMIS"
"CORINTHIE","2","375420","STYX"
"CORINTHIE","3","369103","HÉRA"
"CORINTHIE","4","367961","APOLLON"
"CORINTHIE","5","353711","DIONYSOS"
"CRÈTE","1","595822","ARTÉMIS"
"CRÈTE","2","562710","DIONYSOS"
"CRÈTE","3","552042","APOLLON"
"CRÈTE","4","550133","STYX"
"CRÈTE","5","541992","ZEUS"
"CYTHÈRE","1","193142","APOLLON"
"CYTHÈRE","2","186398","DIONYSOS"
"CYTHÈRE","3","185498","HÉRA"
"CYTHÈRE","4","185325","ARTÉMIS"
"CYTHÈRE","5","181894","ZEUS"
"DARDANELLES","1","197917","ARTÉMIS"
"DARDANELLES","2","181482","STYX"
"DARDANELLES","3","176929","ZEUS"
"DARDANELLES","4","176161","DÉMÉTER"
"DARDANELLES","5","171750","APOLLON"
"DÉLOS","1","191277","ARTÉMIS"
"DÉLOS","2","185214","STYX"
"DÉLOS","3","183243","HÉRA"
"DÉLOS","4","182809","DIONYSOS"
"DÉLOS","5","176399","APOLLON"
"ELIDE","1","578993","STYX"
"ELIDE","2","575047","ARTÉMIS"
"ELIDE","3","557472","APOLLON"
"ELIDE","4","547014","ZEUS"
"ELIDE","5","545576","HÉRA"
"EPIRE","1","403714","ARTÉMIS"
"EPIRE","2","373962","APOLLON"
"EPIRE","3","368636","ZEUS"
"EPIRE","4","364807","DIONYSOS"
"EPIRE","5","362746","STYX"
"ETOLIE","1","624912","ARTÉMIS"
"ETOLIE","2","599426","STYX"
"ETOLIE","3","571423","DIONYSOS"
"ETOLIE","4","566065","APOLLON"
"ETOLIE","5","562541","ZEUS"
"EUBÉE","1","203568","ARTÉMIS"
"EUBÉE","2","192918","STYX"
"EUBÉE","3","183282","APOLLON"
"EUBÉE","4","177397","DIONYSOS"
"EUBÉE","5","175988","ZEUS"
"IONIE","1","202030","ARTÉMIS"
"IONIE","2","195124","STYX"
"IONIE","3","184684","ZEUS"
"IONIE","4","184177","APOLLON"
"IONIE","5","183483","DIONYSOS"
"ITHAQUE","1","200815","STYX"
"ITHAQUE","2","194371","ARTÉMIS"
"ITHAQUE","3","191368","ZEUS"
"ITHAQUE","4","183210","APOLLON"
"ITHAQUE","5","180266","DIONYSOS"
"KALYMNOS","1","194435","STYX"
"KALYMNOS","2","193084","APOLLON"
"KALYMNOS","3","190512","HÉRA"
"KALYMNOS","4","188366","ARTÉMIS"
"KALYMNOS","5","184212","DIONYSOS"
"KOS","1","194219","ARTÉMIS"
"KOS","2","187140","STYX"
"KOS","3","180910","APOLLON"
"KOS","4","179484","ZEUS"
"KOS","5","177712","DIONYSOS"
"KYTHNOS","1","198292","ARTÉMIS"
"KYTHNOS","2","190925","APOLLON"
"KYTHNOS","3","189264","DIONYSOS"
"KYTHNOS","4","188861","STYX"
"KYTHNOS","5","188855","HÉRA"
"LACONIE","1","403044","ARTÉMIS"
"LACONIE","2","365432","STYX"
"LACONIE","3","364667","DIONYSOS"
"LACONIE","4","359921","HÉRA"
"LACONIE","5","345818","ZEUS"
"LARISSE","1","208703","ARTÉMIS"
"LARISSE","2","188377","STYX"
"LARISSE","3","188179","DIONYSOS"
"LARISSE","4","181938","APOLLON"
"LARISSE","5","180909","ZEUS"
"LESBOS","1","188215","STYX"
"LESBOS","2","187771","DÉMÉTER"
"LESBOS","3","183091","ARTÉMIS"
"LESBOS","4","181293","APOLLON"
"LESBOS","5","176126","ZEUS"
"LEUCADE","1","207774","ARTÉMIS"
"LEUCADE","2","189772","STYX"
"LEUCADE","3","189243","DIONYSOS"
"LEUCADE","4","181776","ZEUS"
"LEUCADE","5","176747","APOLLON"
"LYCAONIE","1","194297","ARTÉMIS"
"LYCAONIE","2","192218","STYX"
"LYCAONIE","3","182079","ZEUS"
"LYCAONIE","4","179816","HÉRA"
"LYCAONIE","5","171631","DÉMÉTER"
"LYCIE","1","208328","ARTÉMIS"
"LYCIE","2","190849","STYX"
