"mois","dieu_fete","dieu","quantite_totale","quantite","part_dieu"
"ANTHESTÉRION","DIONYSOS","DIONYSOS","27070730","3742504","13.82"
"ANTHESTÉRION","DIONYSOS","STYX","27070730","1297118","4.79"
"ANTHESTÉRION","DIONYSOS","ARTÉMIS","27070730","1082882","4.00"
"ANTHESTÉRION","DIONYSOS","PAN","27070730","1056260","3.90"
"ANTHESTÉRION","DIONYSOS","APOLLON","27070730","1025388","3.79"
"ANTHESTÉRION","DIONYSOS","APHRODITE","27070730","963945","3.56"
"ANTHESTÉRION","DIONYSOS","HÉRA","27070730","962783","3.56"
"ANTHESTÉRION","DIONYSOS","ARÈS","27070730","962283","3.55"
"ANTHESTÉRION","DIONYSOS","HÉCATE","27070730","919167","3.40"
"ANTHESTÉRION","DIONYSOS","DÉMÉTER","27070730","901302","3.33"
"ANTHESTÉRION","DIONYSOS","ASCLÉPIOS","27070730","901666","3.33"
"ANTHESTÉRION","DIONYSOS","ZEUS","27070730","846201","3.13"
"ANTHESTÉRION","DIONYSOS","HERMÈS","27070730","830735","3.07"
"ANTHESTÉRION","DIONYSOS","POSEIDON","27070730","759147","2.80"
"ANTHESTÉRION","DIONYSOS","HÉPHAISTOS","27070730","750149","2.77"
"ANTHESTÉRION","DIONYSOS","HADES","27070730","748379","2.76"
"ANTHESTÉRION","DIONYSOS","ATHENA","27070730","695190","2.57"
"ANTHESTÉRION","DIONYSOS","HYGIE","27070730","440021","1.63"
"ANTHESTÉRION","DIONYSOS","PHOBOS","27070730","437733","1.62"
"ANTHESTÉRION","DIONYSOS","PERSÉPHONE","27070730","429661","1.59"
"ANTHESTÉRION","DIONYSOS","IASÔ","27070730","429666","1.59"
"ANTHESTÉRION","DIONYSOS","PLOUTOS","27070730","430726","1.59"
"ANTHESTÉRION","DIONYSOS","ZÉLOS","27070730","427026","1.58"
"ANTHESTÉRION","DIONYSOS","TRITON","27070730","428508","1.58"
"ANTHESTÉRION","DIONYSOS","PROTÉE","27070730","426635","1.58"
"ANTHESTÉRION","DIONYSOS","DEIMOS","27070730","424545","1.57"
"ANTHESTÉRION","DIONYSOS","NÉRÉE","27070730","424695","1.57"
"ANTHESTÉRION","DIONYSOS","FLEUVES","27070730","422496","1.56"
"ANTHESTÉRION","DIONYSOS","KHARITES","27070730","422835","1.56"
"ANTHESTÉRION","DIONYSOS","NIKÈ","27070730","423018","1.56"
"ANTHESTÉRION","DIONYSOS","MUSES","27070730","420999","1.56"
"ANTHESTÉRION","DIONYSOS","HARPOCRATES","27070730","421548","1.56"
"ANTHESTÉRION","DIONYSOS","EOLE","27070730","418422","1.55"
"ANTHESTÉRION","DIONYSOS","CRATOS","27070730","417234","1.54"
"ANTHESTÉRION","DIONYSOS","BRITOMARTIS","27070730","415077","1.53"
"ANTHESTÉRION","DIONYSOS","BIA","27070730","412165","1.52"
"ANTHESTÉRION","DIONYSOS","PAION","27070730","410076","1.51"
"ANTHESTÉRION","DIONYSOS","KRONOS","27070730","142545","0.53"
"BOÉDROMION","HADES","HADES","26388247","2699256","10.23"
"BOÉDROMION","HADES","STYX","26388247","1408677","5.34"
"BOÉDROMION","HADES","PAN","26388247","1062620","4.03"
"BOÉDROMION","HADES","ARTÉMIS","26388247","1060875","4.02"
"BOÉDROMION","HADES","APOLLON","26388247","1021136","3.87"
"BOÉDROMION","HADES","HÉRA","26388247","981480","3.72"
"BOÉDROMION","HADES","APHRODITE","26388247","982850","3.72"
"BOÉDROMION","HADES","ARÈS","26388247","973348","3.69"
"BOÉDROMION","HADES","DIONYSOS","26388247","967029","3.66"
"BOÉDROMION","HADES","DÉMÉTER","26388247","918848","3.48"
"BOÉDROMION","HADES","ASCLÉPIOS","26388247","901246","3.42"
"BOÉDROMION","HADES","HÉCATE","26388247","898564","3.41"
"BOÉDROMION","HADES","ZEUS","26388247","864747","3.28"
"BOÉDROMION","HADES","HERMÈS","26388247","798453","3.03"
"BOÉDROMION","HADES","POSEIDON","26388247","787512","2.98"
"BOÉDROMION","HADES","HÉPHAISTOS","26388247","745408","2.82"
"BOÉDROMION","HADES","ATHENA","26388247","699329","2.65"
"BOÉDROMION","HADES","PLOUTOS","26388247","432653","1.64"
"BOÉDROMION","HADES","CRATOS","26388247","431895","1.64"
"BOÉDROMION","HADES","HYGIE","26388247","431332","1.63"
"BOÉDROMION","HADES","PROTÉE","26388247","431055","1.63"
"BOÉDROMION","HADES","BRITOMARTIS","26388247","430575","1.63"
"BOÉDROMION","HADES","IASÔ","26388247","430259","1.63"
"BOÉDROMION","HADES","PAION","26388247","430883","1.63"
"BOÉDROMION","HADES","KHARITES","26388247","429211","1.63"
"BOÉDROMION","HADES","HARPOCRATES","26388247","424589","1.61"
"BOÉDROMION","HADES","DEIMOS","26388247","423553","1.61"
"BOÉDROMION","HADES","NIKÈ","26388247","424381","1.61"
"BOÉDROMION","HADES","PHOBOS","26388247","425908","1.61"
"BOÉDROMION","HADES","FLEUVES","26388247","421217","1.60"
"BOÉDROMION","HADES","NÉRÉE","26388247","419936","1.59"
"BOÉDROMION","HADES","PERSÉPHONE","26388247","419442","1.59"
"BOÉDROMION","HADES","EOLE","26388247","418246","1.58"
"BOÉDROMION","HADES","ZÉLOS","26388247","416570","1.58"
"BOÉDROMION","HADES","MUSES","26388247","411736","1.56"
"BOÉDROMION","HADES","TRITON","26388247","409890","1.55"
"BOÉDROMION","HADES","BIA","26388247","406890","1.54"
"BOÉDROMION","HADES","KRONOS","26388247","146648","0.56"
"ÉLAPHÉBOLION","ZEUS","HÉRA","26911702","2297956","8.54"
"ÉLAPHÉBOLION","ZEUS","ZEUS","26911702","1994764","7.41"
"ÉLAPHÉBOLION","ZEUS","STYX","26911702","1279905","4.76"
"ÉLAPHÉBOLION","ZEUS","ARTÉMIS","26911702","1116718","4.15"
"ÉLAPHÉBOLION","ZEUS","PAN","26911702","1038664","3.86"
"ÉLAPHÉBOLION","ZEUS","APOLLON","26911702","1034474","3.84"
"ÉLAPHÉBOLION","ZEUS","DIONYSOS","26911702","1017747","3.78"
"ÉLAPHÉBOLION","ZEUS","APHRODITE","26911702","997943","3.71"
"ÉLAPHÉBOLION","ZEUS","DÉMÉTER","26911702","962776","3.58"
"ÉLAPHÉBOLION","ZEUS","ARÈS","26911702","950594","3.53"
"ÉLAPHÉBOLION","ZEUS","ASCLÉPIOS","26911702","923303","3.43"
"ÉLAPHÉBOLION","ZEUS","HÉCATE","26911702","917141","3.41"
"ÉLAPHÉBOLION","ZEUS","HERMÈS","26911702","795221","2.95"
"ÉLAPHÉBOLION","ZEUS","POSEIDON","26911702","788203","2.93"
"ÉLAPHÉBOLION","ZEUS","HADES","26911702","735414","2.73"
"ÉLAPHÉBOLION","ZEUS","HÉPHAISTOS","26911702","734738","2.73"
"ÉLAPHÉBOLION","ZEUS","ATHENA","26911702","704176","2.62"
"ÉLAPHÉBOLION","ZEUS","BRITOMARTIS","26911702","440438","1.64"
"ÉLAPHÉBOLION","ZEUS","CRATOS","26911702","437827","1.63"
"ÉLAPHÉBOLION","ZEUS","DEIMOS","26911702","439212","1.63"
"ÉLAPHÉBOLION","ZEUS","IASÔ","26911702","436809","1.62"
"ÉLAPHÉBOLION","ZEUS","KHARITES","26911702","430764","1.60"
"ÉLAPHÉBOLION","ZEUS","HYGIE","26911702","427999","1.59"
"ÉLAPHÉBOLION","ZEUS","BIA","26911702","429113","1.59"
"ÉLAPHÉBOLION","ZEUS","ZÉLOS","26911702","427920","1.59"
"ÉLAPHÉBOLION","ZEUS","EOLE","26911702","423604","1.57"
"ÉLAPHÉBOLION","ZEUS","NIKÈ","26911702","423458","1.57"
"ÉLAPHÉBOLION","ZEUS","PHOBOS","26911702","423483","1.57"
"ÉLAPHÉBOLION","ZEUS","HARPOCRATES","26911702","421046","1.56"
