"quantite_s1","quantite_s2","diff_s1_s2","quantite_s3","diff_s2_s3","quantite_s4","diff_s3_s4","quantite_s5","diff_s4_s5"
"382929","573705","49.82","532729","-7.14","482985","-9.34","600355","24.30"
"387931","567320","46.24","545118","-3.91","484281","-11.16","593447","22.54"
"392597","583098","48.52","530208","-9.07","477536","-9.93","601748","26.01"
"383321","589896","53.89","554327","-6.03","497475","-10.26","620579","24.75"
"387021","557733","44.11","529305","-5.10","479780","-9.36","605773","26.26"
"384352","555154","44.44","540067","-2.72","485355","-10.13","605813","24.82"
"398872","559205","40.20","545302","-2.49","495602","-9.11","586876","18.42"
"385246","572729","48.67","534409","-6.69","501603","-6.14","608044","21.22"
"382125","575391","50.58","519405","-9.73","484022","-6.81","586222","21.11"
"402112","574681","42.92","547161","-4.79","477500","-12.73","590930","23.75"
"385378","569325","47.73","531332","-6.67","492521","-7.30","616199","25.11"
"396040","576435","45.55","538129","-6.65","469447","-12.76","625628","33.27"
"381468","567691","48.82","548107","-3.45","496894","-9.34","594274","19.60"
"395521","555008","40.32","531489","-4.24","477877","-10.09","590275","23.52"
"392883","568280","44.64","540859","-4.83","484238","-10.47","609300","25.83"
"375868","554217","47.45","547248","-1.26","482592","-11.81","621771","28.84"
"377116","598102","58.60","535450","-10.48","474790","-11.33","617094","29.97"
"373177","579858","55.38","526810","-9.15","482398","-8.43","599672","24.31"
"383251","561162","46.42","522202","-6.94","477217","-8.61","605528","26.89"
"377989","558737","47.82","544862","-2.48","482205","-11.50","603835","25.22"
"384974","561532","45.86","539061","-4.00","484706","-10.08","592109","22.16"
"377104","569026","50.89","532348","-6.45","496638","-6.71","596811","20.17"
"401170","555660","38.51","532931","-4.09","486686","-8.68","596620","22.59"
"389100","566585","45.61","546051","-3.62","491565","-9.98","601924","22.45"
"390401","543825","39.30","551590","1.43","482901","-12.45","607862","25.88"
"380380","569571","49.74","525897","-7.67","485195","-7.74","605816","24.86"
"390913","583046","49.15","525922","-9.80","491358","-6.57","604160","22.96"
"387847","579690","49.46","550462","-5.04","478269","-13.11","617533","29.12"
"381869","587352","53.81","545460","-7.13","473457","-13.20","616196","30.15"
"402055","567333","41.11","533790","-5.91","493299","-7.59","601703","21.98"
"393934","569190","44.49","530236","-6.84","496190","-6.42","592671","19.44"
"387099","575501","48.67","539367","-6.28","497494","-7.76","616398","23.90"
"391526","560401","43.13","538290","-3.95","488173","-9.31","591066","21.08"
"397902","576048","44.77","536099","-6.94","487073","-9.14","610295","25.30"
"390403","568137","45.53","541077","-4.76","500068","-7.58","604992","20.98"
"396245","553396","39.66","519466","-6.13","486260","-6.39","623240","28.17"
"391507","564249","44.12","530246","-6.03","483518","-8.81","600234","24.14"
"394475","558128","41.49","542680","-2.77","489128","-9.87","609458","24.60"
"384289","563603","46.66","534895","-5.09","484518","-9.42","597742","23.37"
"388752","582301","49.79","549780","-5.58","464380","-15.53","603761","30.01"
"389098","563486","44.82","536952","-4.71","486101","-9.47","612354","25.97"
"384576","570128","48.25","535226","-6.12","469714","-12.24","599984","27.73"
"382635","574685","50.19","532344","-7.37","485083","-8.88","606380","25.01"
"397542","572909","44.11","519510","-9.32","479616","-7.68","600229","25.15"
"393027","568039","44.53","545633","-3.94","495878","-9.12","607209","22.45"
"397609","558404","40.44","536767","-3.87","479055","-10.75","607742","26.86"
"388667","576889","48.43","546945","-5.19","490303","-10.36","591909","20.72"
"401807","568585","41.51","544154","-4.30","478763","-12.02","609785","27.37"
"389108","566250","45.53","546320","-3.52","472732","-13.47","608098","28.63"
"390964","551448","41.05","544085","-1.34","467317","-14.11","593725","27.05"
"395507","571558","44.51","536076","-6.21","483009","-9.90","599303","24.08"
"381405","585786","53.59","526591","-10.11","485793","-7.75","611458","25.87"
"397501","573822","44.36","542270","-5.50","485074","-10.55","617251","27.25"
"386522","573107","48.27","540287","-5.73","489305","-9.44","599837","22.59"
"404330","598326","47.98","530653","-11.31","493483","-7.00","588249","19.20"
"387446","577679","49.10","524294","-9.24","483701","-7.74","609939","26.10"
"398389","588676","47.76","538396","-8.54","487437","-9.46","607643","24.66"
"395666","571593","44.46","537324","-6.00","467389","-13.02","595564","27.42"
"404466","572981","41.66","533808","-6.84","484794","-9.18","600336","23.83"
"403533","595237","47.51","516330","-13.26","473336","-8.33","603774","27.56"
"387293","561293","44.93","543768","-3.12","471790","-13.24","602963","27.80"
"395910","560030","41.45","544263","-2.82","496868","-8.71","600614","20.88"
"385769","577491","49.70","539457","-6.59","484837","-10.12","602212","24.21"
"388797","574194","47.68","551212","-4.00","483964","-12.20","597862","23.53"
"390168","575924","47.61","525497","-8.76","473090","-9.97","602418","27.34"
